product_id,manufacturer_name,brand_name,color_name,material_code,color_measured_hex,color_measured_rgb,color_measured_cielab,shopify_url_linkfromset
PCDB-002-031-1,Polymaker,Panchroma Matte PLA,Muted Red,PLA,#c85b44,"200, 91, 68",52.92 40.93 33.01,https://theprintcodex.com/products/PCX-002-031-polyterra-pla-muted-red
PCDB-002-032-1,Polymaker,Panchroma Starlight PLA,Mecury,PLA,N/A,N/A,N/A,https://theprintcodex.com/products/PCX-002-032-polylite-starlight-pla-mecury
PCDB-002-033-1,Polymaker,Panchroma Starlight PLA,Jupiter,PLA,N/A,N/A,N/A,https://theprintcodex.com/products/PCX-002-033-polylite-starlight-pla-jupiter
PCDB-002-034-1,Polymaker,Panchroma Starlight PLA,Neptune,PLA,N/A,N/A,N/A,https://theprintcodex.com/products/PCX-002-034-polylite-starlight-pla-neptune
PCDB-002-035-1,Polymaker,Panchroma Galaxy PLA,Black,PLA,N/A,N/A,N/A,https://theprintcodex.com/products/PCX-002-035-polylite-galaxy-pla-black
PCDB-002-036-1,Polymaker,Panchroma Galaxy PLA,Dark Blue,PLA,N/A,N/A,N/A,https://theprintcodex.com/products/PCX-002-036-polylite-galaxy-pla-dark-blue
PCDB-002-037-1,Polymaker,Panchroma Galaxy PLA,Dark Red,PLA,N/A,N/A,N/A,https://theprintcodex.com/products/PCX-002-037-polylite-galaxy-pla-dark-red
PCDB-002-038-1,Polymaker,PolyLite PLA Pro,Sorcerers Red,PLA,N/A,N/A,N/A,https://theprintcodex.com/products/PCX-002-038-polylite-pla-pro-sorcerers-red
PCDB-002-039-1,Polymaker,PolyTerra Marble PLA,Slate Grey,PLA,N/A,N/A,N/A,https://theprintcodex.com/products/PCX-002-042-polyterra-marble-pla-slate-grey
PCDB-002-040-1,Polymaker,PolyTerra Marble PLA,White,PLA,N/A,N/A,N/A,https://theprintcodex.com/products/PCX-002-043-polyterra-marble-pla-white
PCDB-002-041-1,Polymaker,Panchroma Starlight PLA,Twilight,PLA,N/A,N/A,N/A,https://theprintcodex.com/products/PCX-002-050-polylite-starlight-pla-twilight
PCDB-002-042-1,Polymaker,Panchroma Starlight PLA,Nebula,PLA,N/A,N/A,N/A,https://theprintcodex.com/products/PCX-002-051-polylite-starlight-pla-nebula
PCDB-002-043-1,Polymaker,Panchroma Starlight PLA,Aurora,PLA,N/A,N/A,N/A,https://theprintcodex.com/products/PCX-002-052-polylite-starlight-pla-aurora
PCDB-002-044-1,Polymaker,Panchroma Starlight PLA,Meteor,PLA,N/A,N/A,N/A,https://theprintcodex.com/products/PCX-002-053-polylite-starlight-pla-meteor
PCDB-002-045-1,Polymaker,Panchroma Starlight PLA,Comet,PLA,N/A,N/A,N/A,https://theprintcodex.com/products/PCX-002-054-polylite-starlight-pla-comet
PCDB-002-046-1,Polymaker,Matte PLA for Production,White,PLA,,,,
PCDB-002-047-1,Polymaker,Matte PLA for Production,Black,PLA,,,,
PCDB-002-048-1,Polymaker,Panchroma Celestial PLA,Celestial Blue,PLA,,,,
PCDB-002-049-1,Polymaker,Panchroma Celestial PLA,Celestial Green,PLA,,,,
PCDB-002-050-1,Polymaker,Panchroma Celestial PLA,Celestial Purple,PLA,,,,
PCDB-002-051-1,Polymaker,Panchroma Celestial PLA,Celestial White,PLA,,,,
PCDB-002-052-1,Polymaker,Panchroma Celestial PLA,Celestial Light Yellow,PLA,,,,
PCDB-002-053-1,Polymaker,Panchroma Celestial PLA,Celestial Light Pink,PLA,,,,
PCDB-002-054-1,Polymaker,Panchroma Celestial PLA,Celestial Yellow,PLA,,,,
PCDB-002-055-1,Polymaker,Panchroma Dual Matte PLA,Dual Matte Shadow Black,PLA,,,,
PCDB-002-056-1,Polymaker,Panchroma Dual Matte PLA,Dual Matte Shadow Red,PLA,,,,
PCDB-002-057-1,Polymaker,Panchroma Dual Matte PLA,Dual Matte Shadow Orange,PLA,,,,
PCDB-002-058-1,Polymaker,Panchroma Dual Matte PLA,Dual Matte Foggy Orange,PLA,,,,
PCDB-002-059-1,Polymaker,Panchroma Dual Matte PLA,Dual Matte Foggy Purple,PLA,,,,
PCDB-002-060-1,Polymaker,Panchroma Dual Matte PLA,Dual Matte Glacier Blue,PLA,,,,
PCDB-002-061-1,Polymaker,Panchroma Dual Matte PLA,Dual Matte Flamingo,PLA,,,,
PCDB-002-062-1,Polymaker,Panchroma Dual Matte PLA,Dual Matte Chameleon,PLA,,,,
PCDB-002-063-1,Polymaker,Panchroma Dual Matte PLA,Dual Matte Sunrise,PLA,,,,
PCDB-002-064-1,Polymaker,Panchroma Dual Matte PLA,Camouflage,PLA,,,,
PCDB-002-065-1,Polymaker,Panchroma Dual Matte PLA,Dual Matte Mixed Berries,PLA,,,,
PCDB-002-066-1,Polymaker,Panchroma Dual Silk PLA,Dual Silk Aubergine,PLA,,,,
PCDB-002-067-1,Polymaker,Panchroma Dual Silk PLA,Dual Silk Beluga,PLA,,,,
PCDB-002-068-1,Polymaker,Panchroma Dual Silk PLA,Dual Silk Chameleon,PLA,,,,
PCDB-002-069-1,Polymaker,Panchroma Dual Silk PLA,Dual Silk Caribbean Sea,PLA,,,,
PCDB-002-070-1,Polymaker,Panchroma Dual Silk PLA,Dual Silk Crown,PLA,,,,
PCDB-002-071-1,Polymaker,Panchroma Dual Silk PLA,Dual Silk Sovereign,PLA,,,,
PCDB-002-072-1,Polymaker,Panchroma Dual Silk PLA,Dual Silk Banquet,PLA,,,,
PCDB-002-073-1,Polymaker,Panchroma Dual Silk PLA,Dual Silk Jadeite,PLA,,,,
PCDB-002-074-1,Polymaker,Panchroma Dual Silk PLA,Dual Silk Sunset,PLA,,,,
PCDB-002-075-1,Polymaker,Panchroma Dual Special PLA,Dual Yin-Yang,PLA,,,,
PCDB-002-076-1,Polymaker,Panchroma Galaxy PLA,Galaxy Dark Green,PLA,,,,
PCDB-002-077-1,Polymaker,Panchroma Galaxy PLA,Galaxy Dark Grey,PLA,,,,
PCDB-002-078-1,Polymaker,Panchroma Galaxy PLA,Hedgehog Makes,PLA,,,,
PCDB-002-079-1,Polymaker,Panchroma Glow PLA,Glow Green,PLA,,,,
PCDB-002-080-1,Polymaker,Panchroma Glow PLA,Glow Blue,PLA,,,,
